feature,log2fc,p_value
Gene1,-0.7660154506324665,0.0123677007433513
Gene2,-2.0859791314690725,0.0050050347222977
Gene3,-1.5199020246200792,0.0213345157184553
Gene4,-1.84906558734661,0.0014065680299476
Gene5,1.23635291703655,0.0351963426743677
Gene6,-0.8979235390051653,0.0302568431693788
Gene7,-1.586975013695057,0.0199733699881842
Gene8,-0.4112113232155214,0.0074161089360744
Gene9,-0.1202380226454938,0.0587463605088023
Gene10,0.1938434262568137,0.4005134805165918
Gene11,-0.7798472244766876,0.0318896453344005
Gene12,-0.286544630226568,0.3968761397737044
Gene13,0.6917427875181674,0.1872922596609634
Gene14,2.4438287532253407,0.0009662311221571
Gene15,-1.0527627538510451,0.0063014060677182
Gene16,1.0921578803913616,0.0778939587481549
Gene17,-0.3131591357702938,0.2011098725057914
Gene18,0.709930534185849,0.1034134422273715
Gene19,-1.172976377244093,0.0051166417784169
Gene20,1.9008806784460348,0.010294443373762
Gene21,-1.0323353152867611,0.0216044765785496
Gene22,0.1036117956985404,0.0032829968112202
Gene23,-1.648292412113904,0.0016347957745122
Gene24,-0.0919489229610973,0.4605137265987418
Gene25,0.7755332982631619,0.0562757903389327
Gene26,0.6212966769195524,0.2091808419010904
Gene27,0.8222353622553439,0.0425033227305116
Gene28,0.967385387924636,0.0896223260703086
Gene29,-0.7009707618258953,0.0167264559681334
Gene30,1.548869104103161,0.0089393203059913
Gene31,-1.1915702739212342,0.0041324204864649
Gene32,0.766465572716587,0.1050094850839699
Gene33,-0.6199111551046412,0.1728041787424505
Gene34,-2.0351732482439013,0.0009010287684681
Gene35,0.9083768549673168,0.094179807439621
Gene36,0.3255991889863486,0.2383004312673181
Gene37,0.1492990494324935,0.3596531183717431
Gene38,-1.4103012824326815,0.0239292181565775
Gene39,0.5405077693246998,0.0529352655807906
Gene40,-1.100796527185008,0.0107633243255013
Gene41,1.4409264386351073,0.0157878580857463
Gene42,0.3363531825887851,0.0814614456447541
Gene43,-0.2102934948986113,0.0572557469708401
Gene44,-0.0523575379551777,0.5558002050275317
Gene45,-0.637117159879518,0.0952678076902048
Gene46,-1.5451607727747734,0.0188257673282447
Gene47,0.7411904827060866,0.082495786637911
Gene48,-0.8675921055689118,0.0159496475168946
Gene49,-2.130309191440663,0.0005720998172615
Gene50,-1.3943354317788357,0.003374693907715
Gene51,1.3178949488113856,4.322585864934267e-05
Gene52,0.0425798372914759,0.1559113914743423
Gene53,-2.084351011908223,0.0048108653119444
Gene54,0.826313538023604,0.0336864828324623
Gene55,-2.294417554650647,0.0010129683030064
Gene56,0.6982437925421507,0.1406261612468654
Gene57,0.3883206984681719,0.0270369881948298
Gene58,0.4840220927907258,0.2080974869357633
Gene59,-1.11766731959593,0.0188595024003848
Gene60,0.8725257703908298,0.0321384807672533
Gene61,-0.0249369335683405,0.0601760542873775
Gene62,0.0897775182001484,0.3445338759323786
Gene63,0.3990940828572987,0.1157837530680431
Gene64,-0.9646642665926062,0.0986794723076441
Gene65,1.023215365857666,0.0319449967538731
Gene66,0.8604084058157251,0.0009556554745143
Gene67,-0.3982042139839735,0.260511644455396
Gene68,-3.348131183517643,0.0004203759061163
Gene69,0.1439121043439455,0.5439650314197365
Gene70,-0.7054053518521741,0.1951409625199124
Gene71,0.2381242528186201,0.347696599668307
Gene72,0.4144540069066409,0.0986742134587829
Gene73,1.854890011086812,0.0100269038023443
Gene74,0.2342548559202789,0.3883353852717228
Gene75,-0.4712287644742141,0.2119514828203619
Gene76,0.5235044527866958,0.2459134188117772
Gene77,0.0749187915939492,0.0006294461628209
Gene78,-2.406235824876086,8.455129286214931e-05
Gene79,0.3931188628325411,0.1405209129450597
Gene80,-1.3684575175562426,0.0110857593217671
Gene81,0.5487997675431714,0.2485822723408004
Gene82,-0.588055052141503,0.0014991996522944
Gene83,-1.317006019148789,0.0016639539842924
Gene84,-0.3015705453196785,0.3080170225523421
Gene85,1.898211052542237,0.0034669678075226
Gene86,0.0227358200088226,0.3503723287352876
Gene87,-1.0527437094134553,0.0189585527786317
Gene88,-0.0399787432054669,0.0603150901402584
Gene89,-1.0927574198838894,0.0637119349972378
Gene90,-1.1498118349197517,0.0108389394973889
Gene91,-1.919138227761992,0.0076348950810921
Gene92,-2.5315088811628788,0.0003342789843129
Gene93,-1.8920818491700544,0.0003698017696185
Gene94,0.4650905420557055,0.1940173372620931
Gene95,-0.6473079997690122,0.0104554241522106
Gene96,-0.6964723658118507,0.1750009328153222
Gene97,0.8583490032414456,0.1047696657729008
Gene98,2.1889463482670646,0.0014249808539153
Gene99,0.5674195646857351,0.0566187214702868
Gene100,-1.3601165292682678,0.0425441181732272
Gene101,0.6037024247233436,0.0154255626141692
Gene102,1.5912808108112189,0.0235330224095712
Gene103,-0.7224360886210569,0.1445868079450757
Gene104,-1.0897110596314163,0.0037095875135391
Gene105,0.6584108454994189,0.1088471371044793
Gene106,-0.376692220239308,0.4144566917707769
Gene107,0.6077221288617489,0.2441182503251232
Gene108,-1.6610804516807571,0.0113726371044902
Gene109,0.2251877475322665,0.2830625914683785
Gene110,0.3296632462824144,0.2095269351644861
Gene111,-0.7149182303459689,0.0732962069823378
Gene112,-1.0394510327111532,0.030688599910138
Gene113,-1.437077669938971,0.014546004654815
Gene114,0.2794851891823379,0.3626658273934897
Gene115,0.513027028046333,0.2434961400669527
Gene116,-0.4766745094951939,0.256697618393962
Gene117,-0.4896267635431031,0.0244215937882037
Gene118,0.991824177808609,0.023256670962706
Gene119,-0.372740349331981,0.0617693264246279
Gene120,-0.2719612675951176,0.2235939365030859
Gene121,-0.5619839228865683,0.0187533514880058
