feature,log2fc,p_value
Gene1,-0.7660154506324665,0.012367700743351343
Gene2,-2.0859791314690725,0.005005034722297737
Gene3,-1.5199020246200792,0.021334515718455394
Gene4,-1.84906558734661,0.0014065680299476437
Gene5,1.23635291703655,0.0351963426743677
Gene6,-0.8979235390051653,0.0302568431693788
Gene7,-1.586975013695057,0.01997336998818422
Gene8,-0.4112113232155214,0.007416108936074456
Gene9,-0.12023802264549383,0.05874636050880232
Gene10,0.19384342625681375,0.4005134805165918
Gene11,-0.7798472244766876,0.031889645334400585
Gene12,-0.286544630226568,0.39687613977370445
Gene13,0.6917427875181674,0.1872922596609634
Gene14,2.4438287532253407,0.0009662311221571879
Gene15,-1.0527627538510453,0.00630140606771822
Gene16,1.0921578803913616,0.07789395874815494
Gene17,-0.3131591357702938,0.2011098725057914
Gene18,0.709930534185849,0.1034134422273715
Gene19,-1.172976377244093,0.0051166417784169384
Gene20,1.9008806784460348,0.010294443373762074
Gene21,-1.0323353152867611,0.02160447657854969
Gene22,0.1036117956985404,0.0032829968112202826
Gene23,-1.648292412113904,0.0016347957745122602
Gene24,-0.09194892296109733,0.46051372659874185
Gene25,0.7755332982631619,0.05627579033893273
Gene26,0.6212966769195524,0.20918084190109046
Gene27,0.8222353622553439,0.0425033227305116
Gene28,0.9673853879246359,0.0896223260703086
Gene29,-0.7009707618258953,0.016726455968133436
Gene30,1.548869104103161,0.008939320305991375
Gene31,-1.1915702739212342,0.004132420486464944
Gene32,0.766465572716587,0.10500948508396991
Gene33,-0.6199111551046412,0.17280417874245055
Gene34,-2.0351732482439013,0.0009010287684681759
Gene35,0.9083768549673168,0.09417980743962102
Gene36,0.32559918898634865,0.23830043126731815
Gene37,0.14929904943249353,0.35965311837174313
Gene38,-1.4103012824326815,0.02392921815657753
Gene39,0.5405077693246998,0.05293526558079068
Gene40,-1.100796527185008,0.010763324325501374
Gene41,1.4409264386351073,0.015787858085746388
Gene42,0.3363531825887851,0.08146144564475416
Gene43,-0.21029349489861135,0.0572557469708401
Gene44,-0.05235753795517775,0.5558002050275317
Gene45,-0.637117159879518,0.09526780769020485
Gene46,-1.5451607727747734,0.018825767328244706
Gene47,0.7411904827060866,0.08249578663791106
Gene48,-0.8675921055689118,0.015949647516894636
Gene49,-2.130309191440663,0.0005720998172615447
Gene50,-1.3943354317788355,0.0033746939077150123
Gene51,1.3178949488113856,4.322585864934267e-05
Gene52,0.042579837291475985,0.15591139147434233
Gene53,-2.084351011908223,0.004810865311944421
Gene54,0.826313538023604,0.03368648283246237
Gene55,-2.294417554650647,0.0010129683030064673
Gene56,0.6982437925421507,0.14062616124686542
Gene57,0.38832069846817197,0.02703698819482987
Gene58,0.48402209279072583,0.20809748693576335
Gene59,-1.1176673195959301,0.018859502400384868
Gene60,0.8725257703908298,0.03213848076725331
Gene61,-0.02493693356834056,0.060176054287377594
Gene62,0.08977751820014845,0.3445338759323786
Gene63,0.3990940828572987,0.1157837530680431
Gene64,-0.9646642665926062,0.09867947230764412
Gene65,1.0232153658576661,0.031944996753873134
Gene66,0.8604084058157251,0.000955655474514364
Gene67,-0.3982042139839735,0.26051164445539604
Gene68,-3.348131183517643,0.0004203759061163487
Gene69,0.1439121043439455,0.5439650314197365
Gene70,-0.7054053518521741,0.19514096251991248
Gene71,0.23812425281862012,0.34769659966830707
Gene72,0.4144540069066409,0.09867421345878298
Gene73,1.8548900110868118,0.010026903802344361
Gene74,0.2342548559202789,0.3883353852717228
Gene75,-0.4712287644742141,0.21195148282036194
Gene76,0.5235044527866958,0.24591341881177725
Gene77,0.07491879159394922,0.000629446162820949
Gene78,-2.406235824876086,8.455129286214931e-05
Gene79,0.3931188628325411,0.14052091294505975
Gene80,-1.3684575175562426,0.011085759321767133
Gene81,0.5487997675431714,0.24858227234080044
Gene82,-0.588055052141503,0.0014991996522944328
Gene83,-1.3170060191487887,0.001663953984292435
Gene84,-0.30157054531967853,0.3080170225523421
Gene85,1.8982110525422373,0.003466967807522667
Gene86,0.022735820008822696,0.3503723287352876
Gene87,-1.0527437094134553,0.01895855277863172
Gene88,-0.03997874320546698,0.060315090140258446
Gene89,-1.0927574198838894,0.06371193499723785
Gene90,-1.1498118349197515,0.0108389394973889
Gene91,-1.9191382277619922,0.0076348950810921695
Gene92,-2.5315088811628788,0.0003342789843129516
Gene93,-1.8920818491700544,0.0003698017696185667
Gene94,0.46509054205570555,0.1940173372620931
Gene95,-0.6473079997690122,0.010455424152210685
Gene96,-0.6964723658118507,0.17500093281532222
Gene97,0.8583490032414456,0.10476966577290084
Gene98,2.1889463482670646,0.0014249808539153043
Gene99,0.5674195646857351,0.056618721470286806
Gene100,-1.3601165292682678,0.04254411817322725
Gene101,0.6037024247233436,0.015425562614169261
Gene102,1.5912808108112189,0.023533022409571207
Gene103,-0.7224360886210569,0.14458680794507572
Gene104,-1.0897110596314163,0.0037095875135391265
Gene105,0.6584108454994189,0.10884713710447934
Gene106,-0.376692220239308,0.41445669177077693
Gene107,0.6077221288617489,0.24411825032512327
Gene108,-1.6610804516807571,0.011372637104490265
Gene109,0.2251877475322665,0.2830625914683785
Gene110,0.32966324628241445,0.20952693516448612
Gene111,-0.7149182303459689,0.07329620698233787
Gene112,-1.0394510327111532,0.030688599910138073
Gene113,-1.4370776699389707,0.014546004654815049
Gene114,0.2794851891823379,0.36266582739348974
Gene115,0.513027028046333,0.24349614006695272
Gene116,-0.47667450949519397,0.25669761839396205
Gene117,-0.48962676354310314,0.02442159378820372
Gene118,0.991824177808609,0.023256670962706075
Gene119,-0.372740349331981,0.061769326424627964
Gene120,-0.27196126759511763,0.22359393650308598
Gene121,-0.5619839228865683,0.01875335148800587
Gene122,-0.7750297724415375,0.05289604334139801
Gene123,1.3567795635219206,0.03484961046109707
Gene124,0.36049838020610636,0.3061610698528549
Gene125,-1.9631040710227825,0.008360142584026386
Gene126,-0.9703115463104686,0.09550498693947333
Gene127,-0.05059534681035044,0.35888922280080104
Gene128,-1.117029966228751,0.01029766846244447
Gene129,-0.49987460875879003,0.010475754801309238
Gene130,-0.28408530336220744,0.015843647701356673
Gene131,2.4114375755726805,0.0002006479366881307
Gene132,-0.6233919121571768,0.015053799399407543
Gene133,-0.1802654343016752,0.09914619427083347
Gene134,-0.14489932868072836,0.033428861202445107
Gene135,2.158336116394805,0.0010004955319081995
Gene136,-0.056436645424224406,0.3341691638454122
Gene137,0.8270383257054937,0.06210527887664792
Gene138,1.868661690599448,0.012996182431919764
Gene139,1.1350833157751385,0.01373962356668909
Gene140,0.3122479367492411,0.3572500601298165
Gene141,0.16332530885721228,0.02902643662914821
Gene142,-0.6214376518761358,0.02933488680117736
Gene143,-1.1439507950796008,0.03182638081794724
Gene144,0.17505769244747946,0.5763661683448342
Gene145,-0.10545711408073079,0.44198648319165595
Gene146,1.5398530825264023,0.00987819063536994
Gene147,1.1102965088973697,0.05526198288607454
Gene148,-0.2973069846392699,0.12744375819868015
Gene149,1.279509253743899,0.04829864708878006
Gene150,-1.183432852975648,0.04843369608625744
Gene151,-1.8147176302583603,0.004873009309353287
Gene152,0.7738402456727159,0.010521027220606416
Gene153,-0.8532761350683417,0.008785957548643253
Gene154,-1.5262901558825723,0.012574492445901248
Gene155,1.1691053191193856,0.04625788314789646
Gene156,-2.505565074308681,0.002162439056773066
Gene157,0.692802233515881,0.08944387410056648
Gene158,0.6318307150260573,0.025037807718657587
Gene159,-0.5016595290067509,0.09752796024972259
Gene160,-1.8687492194167605,0.0013327814979347096
Gene161,1.7417024803758376,0.00813128103088712
Gene162,0.28593352634471386,0.04805027550533834
Gene163,-1.9313094478992834,0.010898780672822093
Gene164,0.7252515526368295,0.08625453615861733
Gene165,-0.83481049129183,0.06634551769778654
Gene166,-1.4469109438523682,0.022371602628988463
Gene167,-0.042747359736563385,0.05761214025123075
Gene168,0.9299810028178995,0.04004211510889523
Gene169,-1.1732807599895874,0.03463838299999943
Gene170,-1.0718311458385539,0.08283037990704147
Gene171,0.35487874725081586,0.007585830970952188
Gene172,0.35583358966661394,0.32966712583850777
Gene173,0.24827412721280495,0.3189922712228126
Gene174,0.16360698962477913,0.40131853514996607
Gene175,1.2547423024637017,0.04350401679049463
Gene176,-0.16181509489531168,0.21459075788625656
Gene177,-0.13211095484639088,0.30647547145086956
Gene178,-0.16153078825067688,0.03308144503938678
Gene179,-1.6568173953565026,0.012536269497222266
Gene180,-0.4096131374022831,0.15850593479784564
Gene181,1.2120020894086367,0.013029723660965723
Gene182,0.17550124642397164,0.0832392491240736
Gene183,2.017548386221719,0.00768646349338096
Gene184,-0.36305247274848185,0.09309109261585824
Gene185,-1.4347325099397272,0.010595148444886132
Gene186,-0.7611192462454591,0.1474862839635827
Gene187,-0.1621560489481196,0.3149413482250829
Gene188,-0.2925324379236423,0.03190071004840138
Gene189,1.5945318648950961,0.006717005606137198
Gene190,0.8859555380855219,0.00893965854767132
Gene191,-0.997630939689883,0.08511149885807456
Gene192,1.5110307026246432,0.03057011953014526
Gene193,1.0108293697338657,0.03164748617848742
Gene194,-0.05192629723605271,0.4961464856986584
Gene195,-1.832553996879423,0.0004900694184477847
Gene196,-1.3301320340426788,0.00353922617375988
Gene197,-2.1398730125755687,0.0028565146480463667
Gene198,-2.6830846827359918,0.001369029197989186
Gene199,-1.456302750281181,0.02537188468880591
