group,condition,value
Cohort 1,Control,1.2134918902807907
Cohort 1,Control,0.8921094288597039
Cohort 1,Control,1.0299368983533719
Cohort 1,Control,0.9497927265590862
Cohort 1,Control,1.7010250580610728
Cohort 1,Control,1.181375138329177
Cohort 1,Control,1.013606083622073
Cohort 1,Control,1.299878982173612
Cohort 1,Control,1.3707246553558796
Cohort 1,Control,1.4471966603060067
Cohort 1,Control,1.2101241540404586
Cohort 1,Control,1.3302326117709224
Cohort 1,Control,1.5684243308739885
Cohort 1,Control,1.9950191746983439
Cohort 2,Control,1.8436751555840933
Cohort 2,Control,2.3659167013126794
Cohort 2,Control,2.023752558247233
Cohort 2,Control,2.272852651801772
Cohort 2,Control,1.8144057516275252
Cohort 2,Control,2.5628231217086
Cohort 2,Control,1.8486487927997453
Cohort 2,Control,2.1252272198222535
Cohort 2,Control,1.698676630094006
Cohort 2,Control,2.0776124361486024
Cohort 2,Control,2.2888254987075527
Cohort 2,Control,2.251272234380413
Cohort 2,Control,2.300196436027388
Cohort 2,Control,2.3355373118425202
Cohort 3,Control,2.6293288579902168
Cohort 3,Control,3.1771159557816393
Cohort 3,Control,2.509878542001786
Cohort 3,Control,2.9866177046614295
Cohort 3,Control,2.6490651100614784
Cohort 3,Control,2.304479556949311
Cohort 3,Control,3.0211700168616074
Cohort 3,Control,2.879276324274937
Cohort 3,Control,2.8363510729053028
Cohort 3,Control,2.456622296451173
Cohort 3,Control,2.931601891661666
Cohort 3,Control,2.531979975989737
Cohort 3,Control,3.1508342633198523
Cohort 3,Control,2.8818946879346607
Cohort 1,Treatment A,2.048798105589903
Cohort 1,Treatment A,2.087252077715261
Cohort 1,Treatment A,1.9448758219423778
Cohort 1,Treatment A,1.7237869422809244
Cohort 1,Treatment A,2.2804637697023513
Cohort 1,Treatment A,1.8887601829919167
Cohort 1,Treatment A,1.5813160229535774
Cohort 1,Treatment A,1.7605096340016744
Cohort 1,Treatment A,2.4208787701453804
Cohort 1,Treatment A,2.1103672647318374
Cohort 1,Treatment A,1.592505840578867
Cohort 1,Treatment A,2.301189383170964
Cohort 1,Treatment A,1.5413592040850594
Cohort 1,Treatment A,2.2700071842711322
Cohort 2,Treatment A,2.894547648322685
Cohort 2,Treatment A,2.917848857375133
Cohort 2,Treatment A,2.5278723047940344
Cohort 2,Treatment A,3.012441057138637
Cohort 2,Treatment A,2.7939283987833603
Cohort 2,Treatment A,2.8218588739965575
Cohort 2,Treatment A,2.897170733217429
Cohort 2,Treatment A,2.5651252220470173
Cohort 2,Treatment A,3.04913069777404
Cohort 2,Treatment A,3.0094907422855677
Cohort 2,Treatment A,2.70304593050825
Cohort 2,Treatment A,1.984802842273965
Cohort 2,Treatment A,2.835039468883743
Cohort 2,Treatment A,2.628249131722949
Cohort 3,Treatment A,3.5579780789471425
Cohort 3,Treatment A,3.600910540812052
Cohort 3,Treatment A,3.9516253940037456
Cohort 3,Treatment A,3.55703596491972
Cohort 3,Treatment A,3.3852660399541046
Cohort 3,Treatment A,3.627461953721978
Cohort 3,Treatment A,3.5182410970837443
Cohort 3,Treatment A,2.914133886117127
Cohort 3,Treatment A,3.595715897037488
Cohort 3,Treatment A,3.1668103435515236
Cohort 3,Treatment A,3.633620812967033
Cohort 3,Treatment A,3.3568213786090255
Cohort 3,Treatment A,3.1793376649029037
Cohort 3,Treatment A,3.426574128096078
Cohort 1,Treatment B,3.112173125836371
Cohort 1,Treatment B,2.6555356779151915
Cohort 1,Treatment B,2.393679792490637
Cohort 1,Treatment B,2.6402660451325817
Cohort 1,Treatment B,2.383937323854357
Cohort 1,Treatment B,2.3700458141064953
Cohort 1,Treatment B,2.1827315619362104
Cohort 1,Treatment B,2.0336326202386035
Cohort 1,Treatment B,2.189319201941204
Cohort 1,Treatment B,2.7632394363266064
Cohort 1,Treatment B,2.4923945739692837
Cohort 1,Treatment B,2.480424119628419
Cohort 1,Treatment B,2.858989322528352
Cohort 1,Treatment B,3.182960850012851
Cohort 2,Treatment B,3.4881543287930485
Cohort 2,Treatment B,3.018841192873813
Cohort 2,Treatment B,3.4969884164543794
Cohort 2,Treatment B,3.7374422843714274
Cohort 2,Treatment B,3.174102517553134
Cohort 2,Treatment B,3.0846790463506117
Cohort 2,Treatment B,3.510308727599859
Cohort 2,Treatment B,3.258283633333038
Cohort 2,Treatment B,3.4979671270272084
Cohort 2,Treatment B,2.9455630204603374
Cohort 2,Treatment B,3.4048283211382913
Cohort 2,Treatment B,3.4302658338774576
Cohort 2,Treatment B,3.1759329526114164
Cohort 2,Treatment B,3.096916270296415
Cohort 3,Treatment B,3.700102828188772
Cohort 3,Treatment B,4.118048567800917
Cohort 3,Treatment B,4.174910928567803
Cohort 3,Treatment B,3.9339401194272567
Cohort 3,Treatment B,3.930786527137331
Cohort 3,Treatment B,4.291487625901226
Cohort 3,Treatment B,3.959245827988735
Cohort 3,Treatment B,3.983783343542058
Cohort 3,Treatment B,3.9131691318189223
Cohort 3,Treatment B,3.8612970988837994
Cohort 3,Treatment B,4.380346328509685
Cohort 3,Treatment B,4.137773518658878
Cohort 3,Treatment B,3.5720268348814095
Cohort 3,Treatment B,3.8137502322026684
