x,group,value
0,Control,0.95345791379205
0,Control,0.7009431226754819
0,Control,0.8092361344205066
0,Control,0.7462657137249964
0,Control,1.3365196884765576
0,Control,0.928223322972925
0,Control,0.7964047799887718
0,Control,1.0213334859935526
0,Control,1.0769979434939057
0,Control,1.137083090240434
0,Control,0.9508118353175034
0,Control,1.0451827663914393
1,Control,1.4523334028295625
1,Control,1.787515065834413
1,Control,1.1186019079589304
1,Control,1.528934551031391
1,Control,1.260091295765683
1,Control,1.4558127978442494
1,Control,1.0956045191359127
1,Control,1.6836467384853284
1,Control,1.1225097657712284
1,Control,1.3398213870031992
1,Control,1.004674495073862
1,Control,1.3024097712596163
2,Control,1.6883628918416484
2,Control,1.65885675558461
2,Control,1.697297199735805
2,Control,1.7250650307334086
2,Control,1.405901245563742
2,Control,1.8363053938284308
2,Control,1.3120474258585466
2,Control,1.686628196519695
2,Control,1.4214083007625904
2,Control,1.1506625090316014
2,Control,1.713776441819835
2,Control,1.6022885405017364
3,Control,1.788561557282738
3,Control,1.490203232925922
3,Control,1.863401486305595
3,Control,1.5494128382776509
3,Control,2.035655492608456
3,Control,1.8243458262343768
3,Control,1.7197699401063529
3,Control,1.7499837753477054
3,Control,1.6381167172404405
3,Control,1.4644040260778697
3,Control,1.9017929619089904
3,Control,1.594025858065078
4,Control,1.5724625894635254
4,Control,1.7132575695727446
4,Control,2.2321190336856565
4,Control,1.9881457080035867
4,Control,1.581254589026253
4,Control,2.138077372491472
4,Control,1.5410679460668326
4,Control,2.1135770733558896
4,Control,2.054287437967824
4,Control,2.0725955307947475
4,Control,1.76618538233817
4,Control,2.146917973466072
5,Control,2.1952294561869263
5,Control,2.2171748295687244
5,Control,2.276348433242266
5,Control,2.0154555316083718
5,Control,2.395745548251032
5,Control,2.3645998689386607
5,Control,2.1238218025421967
5,Control,1.5594879475009729
5,Control,2.2275310112657984
5,Control,2.0650528892108886
5,Control,2.2455542048870405
5,Control,2.279286853495184
6,Control,2.774848523860085
6,Control,2.464813972436923
6,Control,2.329851888535368
6,Control,2.520148677924411
6,Control,2.434332290565799
6,Control,1.959676624806314
6,Control,2.495205347672312
6,Control,2.158208127076197
6,Control,2.5249877816169546
6,Control,2.307502511764234
6,Control,2.1680510224237097
6,Control,2.362308243504061
7,Control,3.003136027442863
7,Control,2.6443494612190794
7,Control,2.4386055512426434
7,Control,2.632351892604172
7,Control,2.4309507544569957
7,Control,2.420035996797961
7,Control,2.27286051294988
7,Control,2.1557113444731884
7,Control,2.278036515810946
7,Control,2.728973842828048
7,Control,2.51616716526158
7,Control,2.5067618082794723
0,Treatment A,1.6642058962722766
0,Treatment A,1.9187549535815251
0,Treatment A,1.6085498297659666
0,Treatment A,1.239803794400853
0,Treatment A,1.6154908986427263
0,Treatment A,1.8044189377204072
0,Treatment A,1.3617948352203195
0,Treatment A,1.2915335364183378
0,Treatment A,1.6259568573998888
0,Treatment A,1.4279371404759584
0,Treatment A,1.616259885521378
0,Treatment A,1.1822280875045508
1,Treatment A,1.7630793951800858
1,Treatment A,1.783066012332288
1,Treatment A,1.583233034194684
1,Treatment A,1.5211484980900405
1,Treatment A,1.4450807935768926
1,Treatment A,1.7734667318435775
1,Treatment A,1.8181443010175595
1,Treatment A,1.628810093835702
1,Treatment A,1.6263322713221888
1,Treatment A,1.9097402774938208
1,Treatment A,1.6486931505625777
1,Treatment A,1.66797262706876
2,Treatment A,1.832490032143439
2,Treatment A,1.791733434837271
2,Treatment A,2.199557829543324
2,Treatment A,2.00896490751769
2,Treatment A,1.56444965597825
2,Treatment A,1.7543751824449538
2,Treatment A,1.9303208901754112
2,Treatment A,1.7263073108084128
2,Treatment A,1.8443718139765792
2,Treatment A,1.8856532463133169
2,Treatment A,2.401318492718252
2,Treatment A,1.820742416804714
3,Treatment A,2.125514438655332
3,Treatment A,2.132280128426296
3,Treatment A,2.572899083136398
3,Treatment A,2.149203424353627
3,Treatment A,2.3182160275262684
3,Treatment A,2.5174831060277207
3,Treatment A,2.3771463734526352
3,Treatment A,2.2197343878998548
3,Treatment A,2.1912448416944232
3,Treatment A,2.041116275293261
3,Treatment A,1.9411572392021637
3,Treatment A,2.193489297685605
4,Treatment A,2.3598255955671643
4,Treatment A,2.674580589700703
4,Treatment A,2.5924045495281924
4,Treatment A,2.323123881199444
4,Treatment A,2.62477568332492
4,Treatment A,2.153604149865528
4,Treatment A,2.0328366272549223
4,Treatment A,2.5280390035199978
4,Treatment A,2.216764565465186
4,Treatment A,2.088014057135508
4,Treatment A,2.603654930614143
4,Treatment A,1.9006745075235565
5,Treatment A,2.7325360794552123
5,Treatment A,2.72087196287455
5,Treatment A,2.504030350972622
5,Treatment A,2.242500149328968
5,Treatment A,2.933195257115378
5,Treatment A,2.654700326778989
5,Treatment A,2.230532105619268
5,Treatment A,2.7387437752870456
5,Treatment A,2.440297123405041
5,Treatment A,2.323199645523895
5,Treatment A,2.5918222442243097
5,Treatment A,2.7779094092347285
6,Treatment A,2.595546289393297
6,Treatment A,2.614954041665668
6,Treatment A,2.887889847300156
6,Treatment A,2.888072512805788
6,Treatment A,2.867495919988537
6,Treatment A,2.851298728449958
6,Treatment A,3.0600376578626216
6,Treatment A,2.789044068802636
6,Treatment A,2.79472659994243
6,Treatment A,2.789098457899871
6,Treatment A,2.5030436287144084
6,Treatment A,2.74163922588826
7,Treatment A,3.271861269278174
7,Treatment A,3.073574151489803
7,Treatment A,3.4259657782337203
7,Treatment A,2.9705464834742035
7,Treatment A,2.765529432881096
7,Treatment A,2.8943945789791297
7,Treatment A,3.008978842809925
7,Treatment A,2.9840372727450424
7,Treatment A,3.3450408785016705
7,Treatment A,3.209487146416361
7,Treatment A,2.849148863711501
7,Treatment A,3.3290667431108014
0,Treatment B,2.093376053340392
0,Treatment B,1.8900662735722336
0,Treatment B,1.5494244527708931
0,Treatment B,1.645539958704879
0,Treatment B,1.490632988898587
0,Treatment B,1.3867142346070276
0,Treatment B,1.621402952120122
0,Treatment B,1.9019191864935583
0,Treatment B,2.2506892105449934
0,Treatment B,1.7370416588731556
0,Treatment B,1.337856882029787
0,Treatment B,1.969059697579148
1,Treatment B,1.9132760762336904
1,Treatment B,1.7861112155764711
1,Treatment B,2.024876360406595
1,Treatment B,2.334950760506084
1,Treatment B,1.985218705090072
